Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
356S,MILO,18-21-W 4,18,21,4,50.52174,-112.71715,,,AB
358S,BRAZEAU,46-14-W 5,46,14,5,52.95652,-115.78934,,,AB
359S,WESTPEMBINA,49-11-W 5,49,11,5,53.21739,-115.39171,,,AB
363S,SEDALIA,32-5-W 4,32,5,4,51.73913,-110.59645,,,AB
364S,WHITECOURTINDUSTRIAL,59-11-W 5,59,11,5,54.08696,-115.39171,,,AB
365S,CANADIANOXYASTOTINCREEK,55-20-W 4,55,20,4,53.73913,-112.5846,,,AB
367S,HARRYSMITH,52-27-W 4,52,27,4,53.48162865,-113.8504045,,,AB
368S,BURDETT,10-12-W 4,10,12,4,49.82609,-111.52425,,,AB
370S,NORTHLETHBRIDGE,9-21-W 4,9,21,4,49.73913,-112.71715,,,AB
373S,MADDEN,30-2-W 5,30,2,5,51.56522,-114.19882,,,AB
377S,HARDISTY,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
378S,CAROLINE,34-6-W 5,34,6,5,51.91304,-114.72899,,,AB
379S,WATERTON,4-30-W 4,4,30,4,49.30435,-113.91004,,,AB
383S,KETTLE'SHILL,6-29-W 4,6,29,4,49.47826,-113.7775,,,AB
384S,KEYSTONE,49-3-W 5,49,3,5,53.21739,-114.33136,,,AB
385S,SPRINGCOULEE,4-24-W 4,4,24,4,49.30435,-113.11478,,,AB
388S,RIVERSIDE,56-22-W 4,56,22,4,53.82609,-112.84969,,,AB
391S,TURBOBALZAC,26-29-W 4,26,29,4,51.21739,-113.7775,,,AB
392S,BLACKDIAMOND,20-2-W 5,20,2,5,50.69565,-114.19882,,,AB
394S,EMPRESS,20-1-W 4,20,1,4,50.69565,-110.06627,,,AB
395S,NORTHHOLDEN,50-16-W 4,50,16,4,53.30435,-112.05443,,,AB
396S,PINCHERCREEK,6-30-W 4,6,30,4,49.47826,-113.91004,,,AB
397S,BENBOW,59-18-W 5,59,18,5,54.08696,-116.31952,,,AB
402S,SHELLAOSP,56-21-W 4,56,21,4,53.82609,-112.71715,,,AB
404S,PEACEBUTTE,9-6-W 4,9,6,4,49.73913,-110.72899,,,AB
405S,WAUPISOO,67-18-W 4,67,18,4,54.78261,-112.31952,,,AB
406S,FICKLELAKE,51-19-W 5,51,19,5,53.3913,-116.45206,,,AB
408S,AIRLIQUIDE,55-21-W 4,55,21,4,53.73913,-112.71715,,,AB
409S,SCOTFORD,55-21-W 4,55,21,4,53.73913,-112.71715,,,AB
410S,JOSEPHBURG,55-21-W 4,55,21,4,53.73913,-112.71715,,,AB
411S,OBED,53-24-W 5,53,24,5,53.56522,-117.11478,,,AB
412S,EAGLECREEK,34-4-W 5,34,4,5,51.91304,-114.4639,,,AB
414S,GULFROBB,49-20-W 5,49,20,5,53.21739,-116.5846,,,AB
415S,DRYWOOD,4-29-W 4,4,29,4,49.30435,-113.7775,,,AB
418S,ARDENVILLEWINDFARM,7-26-W 4,7,26,4,49.56522,-113.37987,,,AB
419S,CHESTERMERE,24-28-W 4,24,28,4,51.04348,-113.64495,,,AB
420S,BROADMOOR,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
421S,HAYS,13-14-W 4,13,14,4,50.08696,-111.78934,,,AB
422S,WESTWOOD,54-22-W 4,54,22,4,53.65217,-112.84969,,,AB
426S,COALSPUR,48-21-W 5,48,21,5,53.13043,-116.71715,,,AB
428S,NAMAKA,24-23-W 4,24,23,4,51.04348,-112.98223,,,AB
429S,NELSONLAKE,43-23-W 4,43,23,4,52.69565,-112.98223,,,AB
430S,URSUS,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
431S,HUSSAR,23-20-W 4,23,20,4,50.95652,-112.5846,,,AB
432S,CARVEL,53-1-W 5,53,1,5,53.56522,-114.06627,,,AB
434S,STONYPLAIN,52-27-W 4,52,27,4,53.47826,-113.51241,,,AB
435S,BASSANO,21-17-W 4,21,17,4,50.78261,-112.18697,,,AB
437S,BAYMAG,24-9-W 5,24,9,5,51.04348,-115.12662,,,AB
438S,WESTLOCK,60-26-W 4,60,26,4,54.17391,-113.37987,,,AB
439S,OPAL,56-22-W 4,56,22,4,53.82609,-112.84969,,,AB
443S,SOUTHMAYERTHORPE,57-8-W 5,57,8,5,53.91304,-114.99408,,,AB
445S,ELKRIVER,46-14-W 5,46,14,5,52.95652,-115.78934,,,AB
447S,ENCHANT,15-18-W 4,15,18,4,50.26087,-112.31952,,,AB
452S,B.F.GOODRICHFORTSASKATCHEWAN,55-21-W 4,55,21,4,53.73913,-112.71715,,,AB
454S,BUCKLAKE,47-6-W 5,47,6,5,53.04348,-114.72899,,,AB
477S,WESTPEMBINA,47-14-W 5,47,14,5,53.04348,-115.78934,,,AB
478S,TUCUMAN,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
482S,HAYNES,39-25-W 4,39,25,4,52.34783,-113.24732,,,AB
484S,MILLARWESTERN,59-12-W 5,59,12,5,54.08696,-115.52425,,,AB
485S,BLACKSPRINGRIDGE,14-22-W 4,14,22,4,50.17391,-112.84969,,,AB
489S,PETRO-CANADABRAZEAURIVER,48-12-W 5,48,12,5,53.13043,-115.52425,,,AB
492S,MONARCH,10-22-W 4,10,22,4,49.82609,-112.84969,,,AB
498S,TILLEY,18-12-W 4,18,12,4,50.52174,-111.52425,,,AB
500S,FLATBUSH,66-1-W 5,66,1,5,54.69565,-114.06627,,,AB
