Well_ID,UWI,Area,Surf_Latitude,Surf_Longitude,Well_Status_Text,Well_Status_Group,Available_Volume_m3,Legal Subdivisions,Section,Township,Range,Meridian,Crooked_Hole_TF,Deviated_Hole_TF,Horizontal_Hole_TF,Burst_Pressure_psi,Format,STRM,orphan
131/02-10-006-30W1/02,131/02-10-006-30W1,SK,49.46161,-101.4565,Susp OIL Prod,SUSP,7.606110366305329,2,10,6,30,1,F,F,T,,ATS,10-6-30-1,0
131/02-10-015-20W3/00,131/02-10-015-20W3,SK,50.23982,-108.67365,Susp WTR Inj,SUSP,15.734090625630834,2,10,15,20,3,F,F,F,,ATS,10-15-20-3,1
131/02-10-031-27W3/00,131/02-10-031-27W3,SK,51.63622,-109.74863,Act OIL Prod,IDLE,13.319946179905694,2,10,31,27,3,F,F,F,,ATS,10-31-27-3,0
131/02-10-051-22W3/02,131/02-10-051-22W3,SK,53.3829,-109.16149,Susp OIL Prod,SUSP,6.859235806107938,2,10,51,22,3,F,F,F,,ATS,10-51-22-3,0
131/02-11-007-03W2/00,131/02-11-007-03W2,SK,49.53956,-102.30895,ABD OIL,ABD,9.234743806551895,2,11,7,3,2,F,F,F,,ATS,11-7-3-2,0
131/02-11-016-17W3/00,131/02-11-016-17W3,SK,50.32734,-108.23746,ABD OIL,ABD,23.81069115027052,2,11,16,17,3,F,F,F,,ATS,11-16-17-3,0
131/02-11-033-24W3/00,131/02-11-033-24W3,SK,51.81237,-109.29974,Susp OIL Prod,SUSP,7.37240380556393,2,11,33,24,3,F,F,F,,ATS,11-33-24-3,0
131/02-11-034-24W3/00,131/02-11-034-24W3,SK,51.89887,-109.299,Susp OIL Prod,SUSP,12.35428840161564,2,11,34,24,3,F,F,F,,ATS,11-34-24-3,0
131/02-11-047-27W3/02,131/02-11-047-27W3,SK,53.03121,-109.843,Susp OIL Prod,SUSP,15.455844881171426,2,11,47,27,3,F,T,F,,ATS,11-47-27-3,0
131/02-11-049-21W3/02,131/02-11-049-21W3,SK,53.20779,-108.96557,Susp OIL Prod,SUSP,11.60740157742593,2,11,49,21,3,F,F,F,,ATS,11-49-21-3,0
131/02-12-008-04W2/00,131/02-12-008-04W2,SK,49.6269,-102.42241,Act OIL Prod,IDLE,18.32450593564701,2,12,8,4,2,F,F,F,,ATS,12-8-4-2,0
131/02-12-036-28W3/02,131/02-12-036-28W3,SK,52.07318,-109.86866,Susp GAS Prod,SUSP,11.810147907499813,2,12,36,28,3,F,F,F,,ATS,12-36-28-3,0
131/02-12-040-28W3/00,131/02-12-040-28W3,SK,52.42324,-109.8988,Susp OIL Prod,SUSP,10.422972845035526,2,12,40,28,3,F,F,F,,ATS,12-40-28-3,0
131/02-12-048-23W3/02,131/02-12-048-23W3,SK,53.12057,-109.23398,Susp OIL Prod,SUSP,11.148071247624047,2,12,48,23,3,F,T,F,,ATS,12-48-23-3,0
131/02-12-050-27W3/00,131/02-12-050-27W3,SK,53.29509,-109.81915,ABD Air Inj,ABD,9.683179925553183,2,12,50,27,3,F,F,F,,ATS,12-50-27-3,0
131/02-13-007-11W2/00,131/02-13-007-11W2,SK,49.55417,-103.37083,Susp OIL Prod,SUSP,20.69266667764406,2,13,7,11,2,F,F,F,,ATS,13-7-11-2,0
131/02-13-015-16W3/00,131/02-13-015-16W3,SK,50.25441,-108.0768,Act OIL Prod,IDLE,15.465852353883596,2,13,15,16,3,F,F,F,,ATS,13-15-16-3,0
131/02-13-038-27W3/02,131/02-13-038-27W3,SK,52.2631,-109.72806,Susp OIL Prod,SUSP,18.820129188639264,2,13,38,27,3,F,F,F,,ATS,13-38-27-3,0
131/02-13-052-25W3/03,131/02-13-052-25W3,SK,53.48528,-109.55611,Susp OIL Prod,SUSP,10.229410588020286,2,13,52,25,3,F,F,F,,ATS,13-52-25-3,0
131/02-14-004-12W2/03,131/02-14-004-12W2,SK,49.2931,-103.51897,Susp OIL Prod,SUSP,24.1721002597368,2,14,4,12,2,F,F,F,,ATS,14-4-12-2,0
131/02-14-005-32W1/00,131/02-14-005-32W1,SK,49.38727,-101.69585,ABD OIL,ABD,11.286909096896762,2,14,5,32,1,F,F,F,,ATS,14-5-32-1,0
131/02-14-005-33W1/02,131/02-14-005-33W1,SK,49.38257,-101.83687,Susp OIL Prod,SUSP,6.056717513909799,2,14,5,33,1,F,F,T,,ATS,14-5-33-1,0
131/02-14-052-25W3/00,131/02-14-052-25W3,SK,53.48574,-109.57999,Susp OIL Prod,SUSP,12.513647903791806,2,14,52,25,3,F,F,F,,ATS,14-52-25-3,0
131/02-15-047-27W3/00,131/02-15-047-27W3,SK,53.04795,-109.8678,Susp OIL Prod,SUSP,14.10268255824156,2,15,47,27,3,F,F,F,,ATS,15-47-27-3,0
131/02-15-051-25W3/03,131/02-15-051-25W3,SK,53.39861,-109.60444,Susp OIL Prod,SUSP,11.955002908086817,2,15,51,25,3,F,F,F,,ATS,15-51-25-3,0
131/02-16-014-19W3/00,131/02-16-014-19W3,SK,50.1679,-108.54084,Susp OIL Prod,SUSP,25.85905613452216,2,16,14,19,3,F,F,F,,ATS,16-14-19-3,0
131/02-16-016-15W3/00,131/02-16-016-15W3,SK,50.34124,-108.00843,Act OIL Prod,IDLE,15.18995013151501,2,16,16,15,3,F,F,F,,ATS,16-16-15-3,0
131/02-16-028-23W3/00,131/02-16-028-23W3,SK,51.39095,-109.17949,Act OIL Prod,IDLE,7.295447607175998,2,16,28,23,3,F,F,F,,ATS,16-28-23-3,0
131/02-16-031-26W3/00,131/02-16-031-26W3,SK,51.65111,-109.62889,Susp OIL Prod,SUSP,13.090027661265204,2,16,31,26,3,F,F,F,,ATS,16-31-26-3,0
131/02-16-049-23W3/02,131/02-16-049-23W3,SK,53.2226,-109.30745,Susp OIL Prod,SUSP,11.930174241611038,2,16,49,23,3,F,T,F,,ATS,16-49-23-3,0
